raw,sentids,filename,img_id,positive_sentence,negative_sentence,label,split,num_labels
"[""Several men in hard hats are operating a giant pulley system."", ""Workers look down from up above on a piece of equipment."", ""Two men working on a machine wearing hard hats."", ""Four men on top of a tall structure."", ""Three men on a large rig.""]","[5, 6, 7, 8, 9]",10002456.jpg,1,Workers are operating the system.,The system is operated by workers.,0,test,4
"[""There is a woman and man wearing orange shirts, playing instruments with sheet paper in front of them."", ""A cello player is playing during a concert."", ""A woman in a red shirt playing the cello."", ""A female playing a song on her violin."", ""A woman in a red shirt plays a cello.""]","[1610, 1611, 1612, 1613, 1614]",1107507919.jpg,322,A woman plays a cello.,A cello is played by a woman.,0,train,8
"[""A young girl is looking through an old fashioned video camera."", ""A little girl is holding a cine camera in front of her face."", ""Girl with rosy cheeks and lips holding black toy gun."", ""A young girl steadies her aim with a camera"", ""There is a kid with a gun.""]","[1605, 1606, 1607, 1608, 1609]",1107471216.jpg,321,A girl holds a camera.,A camera is held by a girl.,0,train,6
"[""A dog running across a grassy field with a stick in its mouth."", ""A big tan dog runs on grass with a big stick in his mouth."", ""A dog runs toward the camera with a stick in its mouth."", ""The dog carrying a long stick in its mouth."", ""A dog running with a stick in his mouth""]","[2795, 2796, 2797, 2798, 2799]",1187593464.jpg,559,A dog carries a stick.,A stick is carried by a dog.,0,train,8
"[""A black dog playing fetch with a ball of rope."", ""A large black dog is playing in a grassy yard."", ""A black dog running after his rope toy."", ""A black dog jumping to catch a rope toy"", ""A black dog pounces to get a rope toy.""]","[1600, 1601, 1602, 1603, 1604]",1107246521.jpg,320,A dog catches a rope toy.,A rope toy is caught by a dog.,0,train,6
"[""A man wearing a black jacket and gray slacks, stands on the sidewalk holding a sheet with something printed on it in his hand."", ""A man in a black jacket is standing with a group of people behind him."", ""A man in a black jacket is selling lottery tickets in the sidewalk."", ""Street vendors sell their wares to tourists."", ""Man stands holding a paper in a city.""]","[1595, 1596, 1597, 1598, 1599]",110695011.jpg,319,A man holds a sheet.,A sheet is held by a man.,0,test,8
"[""A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him."", ""A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates, while an opposing player in red reaches for the ball."", ""The green team lifts a player up in victory after a hard game, but will the red team interfere?"", ""A soccer player in green is held high above his teammates and opponents in red."", ""Rugby player lifted to attempt a score against a red team defending.""]","[1570, 1571, 1572, 1573, 1574]",110637863.jpg,314,Teammates lift a player.,A player is lifted by teammates.,0,train,8
"[""A girl wearing glasses and a brown plaid long-sleeved shirt holds a cup and looks through a book with people photographs and text."", ""A woman with brown hair and wearing a brown shirt has a drink while perusing a book with photographs of people in it."", ""A person in a plaid shirt reading a book and having a beverage."", ""A hip person reading a magazine while enjoying a beverage."", ""A boy with glasses and plaid shirt reads a book.""]","[2800, 2801, 2802, 2803, 2804]",118771635.jpg,560,A person reads a book.,A book is read by a person.,0,train,8
"[""A gray and black-haired male is holding his glasses in one hand while looking at something in the other hand; surrounded by numerous amounts of machines."", ""Man in blue shirt and black pants is looking at his thumb on one hand while holding glasses in his other hand."", ""A man in a blue button-up is standing in a room, holding his glasses."", ""Some elements are too small to visualize without a microscope."", ""A man in a laboratory is examining something.""]","[1560, 1561, 1562, 1563, 1564]",110613709.jpg,312,A man examines something.,Something is examined by a man.,0,train,8
"[""A young girl with braids is painting with water colors on a white paper on the wall."", ""The child paints on a large paper with water colors."", ""An artist paints clouds onto a canvas."", ""A young girl painting a picture."", ""A child painting a picture.""]","[1545, 1546, 1547, 1548, 1549]",1105959054.jpg,309,A girl paints a picture.,A picture is painted by a girl.,0,train,8
