Set	ExtraCondition	PrimeLanguage	PrimeType	TargetType	TargetLanguage	PrimeSentence	TargetSentence	FullSentence
Set1	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The girl's apple is blue	The wizard's apple is blue	The girl's apple is blue. The wizard's apple is blue.
Set1	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The girl's apple is blue	The apple of the wizard is blue	The girl's apple is blue. The apple of the wizard is blue.
Set1	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The apple of the girl is blue	The wizard's apple is blue	The apple of the girl is blue. The wizard's apple is blue.
Set1	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The apple of the girl is blue	The apple of the wizard is blue	The apple of the girl is blue. The apple of the wizard is blue.
Set1	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The girl's ice cream is blue	The wizard's apple is blue	The girl's ice cream is blue. The wizard's apple is blue.
Set1	different object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The girl's ice cream is blue	The apple of the wizard is blue	The girl's ice cream is blue. The apple of the wizard is blue.
Set1	different object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The ice cream of the girl is blue	The wizard's apple is blue	The ice cream of the girl is blue. The wizard's apple is blue.
Set1	different object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The ice cream of the girl is blue	The apple of the wizard is blue	The ice cream of the girl is blue. The apple of the wizard is blue.
Set2	same object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The girl's bucket is blue	The nurse's bucket is blue	The girl's bucket is blue. The nurse's bucket is blue.
Set2	same object	English_Prime	s-genitive_Prime	of-genitive_Target	English_Target	The girl's bucket is blue	The bucket of the nurse is blue	The girl's bucket is blue. The bucket of the nurse is blue.
Set2	same object	English_Prime	of-genitive_Prime	s-genitive_Target	English_Target	The bucket of the girl is blue	The nurse's bucket is blue	The bucket of the girl is blue. The nurse's bucket is blue.
Set2	same object	English_Prime	of-genitive_Prime	of-genitive_Target	English_Target	The bucket of the girl is blue	The bucket of the nurse is blue	The bucket of the girl is blue. The bucket of the nurse is blue.
Set2	different object	English_Prime	s-genitive_Prime	s-genitive_Target	English_Target	The girl's rabbit is blue	The nurse's bucket is blue	The girl's rabbit is blue. The nurse's bucket is blue.
