Set	ExtraCondition	PrimeLanguage	PrimeType	TargetType	TargetLanguage	PrimeSentence	TargetSentence	FullSentence
Set1	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The monk throws the the sailor a hat	The policeman throws the clown a gun	The monk throws the the sailor a hat. The policeman throws the clown a gun.
Set1	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The monk throws the the sailor a hat	The policeman throws a gun to the clown	The monk throws the the sailor a hat. The policeman throws a gun to the clown.
Set1	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The monk throws a hat to the sailor	The policeman throws the clown a gun	The monk throws a hat to the sailor. The policeman throws the clown a gun.
Set1	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The monk throws a hat to the sailor	The policeman throws a gun to the clown	The monk throws a hat to the sailor. The policeman throws a gun to the clown.
Set1	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The waitress offers the swimmer a jug	The policeman throws the clown a gun	The waitress offers the swimmer a jug. The policeman throws the clown a gun.
Set1	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The waitress offers the swimmer a jug	The policeman throws a gun to the clown	The waitress offers the swimmer a jug. The policeman throws a gun to the clown.
Set1	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The waitress offers a jug to the swimmer	The policeman throws the clown a gun	The waitress offers a jug to the swimmer. The policeman throws the clown a gun.
Set1	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The waitress offers a jug to the swimmer	The policeman throws a gun to the clown	The waitress offers a jug to the swimmer. The policeman throws a gun to the clown.
Set2	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The chef gives the swimmer a hat	The monk gives the doctor a book	The chef gives the swimmer a hat. The monk gives the doctor a book.
Set2	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The chef gives the swimmer a hat	The monk gives the book to a doctor	The chef gives the swimmer a hat. The monk gives the book to a doctor.
Set2	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The chef gives a hat to the swimmer	The monk gives the doctor a book	The chef gives a hat to the swimmer. The monk gives the doctor a book.
Set2	same verb	English_Prime	PO_Prime	PO_Target	English_Target	The chef gives a hat to the swimmer	The monk gives the book to a doctor	The chef gives a hat to the swimmer. The monk gives the book to a doctor.
Set2	different verb	English_Prime	DO_Prime	DO_Target	English_Target	The burglar hands the pirate a ball	The monk gives the doctor a book	The burglar hands the pirate a ball. The monk gives the doctor a book.
Set2	different verb	English_Prime	DO_Prime	PO_Target	English_Target	The burglar hands the pirate a ball	The monk gives the book to a doctor	The burglar hands the pirate a ball. The monk gives the book to a doctor.
Set2	different verb	English_Prime	PO_Prime	DO_Target	English_Target	The burglar hands a ball to the pirate	The monk gives the doctor a book	The burglar hands a ball to the pirate. The monk gives the doctor a book.
Set2	different verb	English_Prime	PO_Prime	PO_Target	English_Target	The burglar hands a ball to the pirate	The monk gives the book to a doctor	The burglar hands a ball to the pirate. The monk gives the book to a doctor.
Set3	same verb	English_Prime	DO_Prime	DO_Target	English_Target	The monk hands the soldier a book	The burglar hands the pirate a ball	The monk hands the soldier a book. The burglar hands the pirate a ball.
Set3	same verb	English_Prime	DO_Prime	PO_Target	English_Target	The monk hands the soldier a book	The burglar hands a ball to the pirate	The monk hands the soldier a book. The burglar hands a ball to the pirate.
Set3	same verb	English_Prime	PO_Prime	DO_Target	English_Target	The monk hands a book to the soldier	The burglar hands the pirate a ball	The monk hands a book to the soldier. The burglar hands the pirate a ball.
